                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3217,                 3.8657,                  1.351,                0.00545,                0.98413,                0.30663,                0.22407,                0.93012,                 3.8376,                 1.0037,             0.00025206,             0.00025206,             0.00025206
                      2,                 1.2178,                 2.8972,                 1.2398,                0.59175,                0.53809,                 0.6411,                0.46126,                 1.0634,                 3.2507,                 1.0737,             0.00050336,             0.00050336,             0.00050336
                      3,                 1.1423,                 2.3094,                 1.2001,                0.71455,                0.83393,                0.86598,                0.63709,                 0.9546,                 2.6972,                 1.0733,             0.00074959,             0.00074959,             0.00074959
                      4,                 1.1569,                   2.08,                 1.2152,                0.81653,                0.70585,                0.86738,                0.63739,                0.97622,                 2.3257,                  1.078,             0.00074616,             0.00074616,             0.00074616
                      5,                 1.1155,                 1.7328,                 1.1923,                0.83338,                0.90544,                0.96755,                0.73506,                0.88974,                 1.6905,                 1.0088,             0.00073855,             0.00073855,             0.00073855
                      6,                 1.0975,                 1.4935,                 1.1736,                 0.9212,                0.97213,                0.98585,                0.75792,                0.91518,                 1.3449,                 1.0332,             0.00073093,             0.00073093,             0.00073093
                      7,                 1.0548,                 1.4484,                 1.1547,                0.91895,                0.95604,                0.97996,                0.72862,                0.95925,                 1.2843,                 1.0691,             0.00072332,             0.00072332,             0.00072332
                      8,                 1.0438,                 1.2701,                 1.1261,                0.87759,                0.92843,                0.98582,                0.74577,                0.95965,                 1.2538,                 1.0341,             0.00071571,             0.00071571,             0.00071571
                      9,                 1.0549,                 1.1581,                 1.1401,                0.93406,                 0.9642,                0.97758,                0.77301,                0.87882,                0.99024,                 1.0068,              0.0007081,              0.0007081,              0.0007081
                     10,                0.99641,                 1.0401,                 1.1167,                0.96649,                0.97374,                0.99417,                0.78163,                0.86866,                0.88893,                      1,             0.00070048,             0.00070048,             0.00070048
                     11,                0.95984,                0.99328,                 1.0953,                 0.9788,                0.96159,                0.98578,                0.76392,                0.83842,                0.81581,                0.98466,             0.00069287,             0.00069287,             0.00069287
                     12,                0.97767,                 1.0053,                 1.0858,                 0.9527,                0.98141,                0.99306,                0.76216,                0.89492,                0.72528,                  1.038,             0.00068526,             0.00068526,             0.00068526
